PrecinctYear,Precinct,Year,Taxis,Flyers,Seniors,Outreach,HandsOn,Edu_Total
202015,20,2015,0,0,0,1,1,2
202014,20,2014,0,0,2,6,0,8
1062016,106,2016,0,0,1,2,0,3
722014,72,2014,0,0,2,4,0,6
722015,72,2015,6,0,1,4,0,11
722016,72,2016,0,0,0,8,0,8
1122015,112,2015,3,0,5,2,2,12
1022015,102,2015,8,0,2,4,0,14
1022014,102,2014,0,4,4,7,1,16
1022016,102,2016,0,0,2,2,0,4
402016,40,2016,0,0,0,11,0,11
402015,40,2015,7,1,0,10,2,20
402014,40,2014,0,0,0,18,1,19
142014,14,2014,2,0,4,0,1,7
142015,14,2015,7,0,0,0,1,8
782016,78,2016,0,0,0,6,11,17
612015,61,2015,1,0,5,9,0,15
782014,78,2014,0,0,0,12,2,14
782015,78,2015,6,0,0,4,7,17
602015,60,2015,0,0,1,1,3,5
602014,60,2014,0,0,4,12,1,17
602016,60,2016,0,0,1,3,2,6
1092014,109,2014,0,5,3,11,0,19
682015,68,2015,4,0,3,11,2,20
682014,68,2014,0,0,4,4,0,8
522014,52,2014,0,0,0,10,1,11
682016,68,2016,0,0,2,8,0,10
1232016,123,2016,0,0,0,1,0,1
1232014,123,2014,0,0,0,4,0,4
1122016,112,2016,0,0,1,1,0,2
242014,24,2014,2,1,2,15,1,21
1122014,112,2014,0,0,4,1,1,6
242016,24,2016,0,0,1,0,1,2
422014,42,2014,0,0,0,22,1,23
422015,42,2015,2,0,1,16,0,19
102014,10,2014,0,0,1,1,0,2
422016,42,2016,0,0,0,10,0,10
692014,69,2014,0,4,0,7,0,11
692015,69,2015,0,0,0,13,0,13
692016,69,2016,0,0,0,3,0,3
102015,10,2015,2,0,3,1,0,6
452016,45,2016,0,0,2,9,2,13
452014,45,2014,0,0,10,15,0,25
452015,45,2015,1,0,2,17,2,22
102016,10,2016,0,0,0,0,1,1
672016,67,2016,0,0,1,6,0,7
672014,67,2014,0,0,1,23,0,24
672015,67,2015,1,0,2,14,0,17
282016,28,2016,0,0,0,1,0,1
832016,83,2016,0,0,0,13,0,13
1222016,122,2016,0,0,0,7,0,7
222014,22,2014,0,0,0,0,2,2
492014,49,2014,0,0,0,17,0,17
882016,88,2016,0,0,0,1,0,1
882015,88,2015,1,0,0,2,0,3
882014,88,2014,0,0,0,4,1,5
842016,84,2016,0,0,0,1,0,1
842015,84,2015,5,1,1,11,3,21
842014,84,2014,0,0,0,7,4,11
902014,90,2014,6,2,5,9,1,23
902015,90,2015,3,0,5,10,1,19
902016,90,2016,0,0,4,4,0,8
62016,6,2016,0,0,0,2,0,2
1062014,106,2014,0,0,0,11,0,11
62014,6,2014,0,0,0,3,0,3
62015,6,2015,0,0,1,0,1,2
322014,32,2014,0,0,0,3,0,3
322015,32,2015,0,0,0,6,0,6
322016,32,2016,0,0,2,6,0,8
1092016,109,2016,0,0,2,9,2,13
