,PrecinctYear,Precinct,Year,Taxis,Flyers,Seniors,Outreach,HandsOn,Edu_Total,Backing Unsafely,Brake Lights (Defect.or Improper),"Bus Lane, Driving in",Cell Phone,Commercial Veh on Pkwy,Defective Brakes,Disobey Steady Red Signal,Disobey Traffic Control Device,Equipment (Other),Fail to Keep Right,Fail to Signal,Following Too Closely,Headlights (Defect. or Improper),Improper Lights,Improper Passing,Improper Turn,Improper/Missing Plates,Not Giving R of W to Pedes.,Not Giving R of W to Veh.,One Way Street,Other Movers,Pavement Markings,Safety Belt,"School Bus, Passing Stopped",Speeding,Spillback,Tinted Windows,Truck Routes,U-Turn,Uninspected,Uninsured,Unlicensed Operator,Unregistered,P12,P123,Traf_Total,Neigh_Slow_Zone_Total,Speed_Bump_Total,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
91,902014,90.0,2014,6,2,5,9,1,23,4,389,0,1436,0,0,909,592,3,3,219,7,200,6,47,1055,28,236,49,575,6,77,1532,25,316,9,439,45,21,25,1048,462,70,845,3505,9833,0,0,733,5,162,4,160,1,411,0
92,902015,90.0,2015,3,0,5,10,1,19,8,157,0,884,2,1,922,875,15,2,88,3,166,4,37,969,15,275,46,581,5,33,1412,14,249,2,460,21,1,12,686,417,53,672,3490,8415,0,0,860,1,181,0,162,0,517,1
93,1072013,107.0,2013,0,0,0,0,0,0,5,804,0,1130,0,0,117,1787,6,0,8,2,452,41,39,2090,0,147,141,10,237,329,2397,5,329,6,600,33,23,62,368,857,52,630,4922,12077,0,3,827,7,119,2,15,0,693,5
94,1072014,107.0,2014,0,0,3,11,0,14,12,632,0,1011,0,0,225,1780,19,2,104,0,227,59,39,2083,1,261,73,14,2,146,2051,33,702,4,520,10,87,20,366,702,35,1173,5373,11220,0,6,732,6,122,3,20,0,590,3
95,1072015,107.0,2015,4,0,7,12,0,23,5,111,0,834,0,0,266,1937,1,3,198,2,72,20,12,2162,0,316,82,19,3,40,1572,25,743,1,246,0,75,14,145,690,35,1364,5812,9629,0,8,771,3,105,1,17,0,649,2
96,132013,13.0,2013,0,0,0,0,0,0,17,124,21,840,4,2,635,2806,6,2,89,1,46,0,31,1350,9,269,21,110,390,182,324,8,67,624,88,34,12,15,396,264,93,454,5711,8880,0,0,708,6,275,5,136,0,297,1
97,132014,13.0,2014,0,0,0,4,3,7,7,115,18,693,0,7,832,2176,33,1,73,26,91,0,13,1606,10,387,17,116,104,180,272,18,94,587,82,29,6,7,341,214,74,589,5359,8229,0,0,656,2,239,2,140,0,277,0
98,132015,13.0,2015,1,0,0,5,3,9,8,43,8,400,0,1,831,2201,22,3,68,10,24,1,44,1875,4,381,50,72,271,40,121,16,137,425,127,2,39,3,222,174,39,652,5883,7662,0,0,577,0,207,0,144,0,226,0
99,302013,30.0,2013,0,0,0,0,0,0,15,246,1,1779,0,11,575,834,43,1,132,2,158,1,9,685,21,381,11,19,155,139,1217,5,436,2,274,305,80,9,125,395,43,965,3635,8109,0,0,208,2,60,1,21,0,127,1
100,302014,30.0,2014,1,0,1,4,0,6,25,237,0,1416,0,2,883,826,8,0,69,6,107,1,90,939,21,587,25,3,3,81,798,72,371,10,184,241,190,15,122,356,29,1124,4252,7717,0,0,157,0,55,0,19,0,83,0
101,302015,30.0,2015,4,0,0,2,3,9,19,106,0,1194,1,6,1037,1248,3,7,236,3,40,0,11,816,8,642,30,2,20,58,452,31,570,4,179,169,5,14,116,299,37,1509,4832,7363,0,0,197,0,52,0,22,0,123,0
102,472013,47.0,2013,0,0,0,0,0,0,8,276,0,531,1,0,124,536,0,3,15,5,423,0,6,523,0,123,5,4,906,135,1235,25,190,0,597,16,0,100,1114,584,288,358,2472,7773,0,0,883,5,166,5,20,0,697,0
103,472014,47.0,2014,0,4,1,10,2,17,18,351,0,554,0,0,179,834,0,2,1,4,387,0,14,795,0,187,29,2,12,29,999,53,339,0,558,7,0,115,998,545,321,609,2454,7333,0,0,889,1,164,0,21,0,704,1
104,472015,47.0,2015,0,0,2,15,0,17,11,281,0,694,0,0,247,1249,0,0,6,5,335,0,19,997,0,233,50,1,1,1,834,57,386,0,1467,0,4,35,989,676,298,732,3241,8876,0,0,928,4,165,2,37,0,726,2
105,812013,81.0,2013,0,0,0,0,0,0,42,1137,0,2049,0,28,428,1048,70,6,500,5,1302,81,21,39,9,40,24,36,288,117,1706,8,255,16,951,9,13,32,785,672,163,827,2703,11880,0,0,485,0,94,0,36,0,355,0
106,812014,81.0,2014,0,0,0,11,0,11,24,893,0,1795,1,12,511,950,93,3,381,22,1163,41,17,75,13,234,72,27,23,244,1591,30,587,25,1081,1,12,19,674,667,116,1304,2914,11397,0,0,454,1,102,0,46,1,306,0
107,812015,81.0,2015,2,0,0,7,0,9,20,594,0,1240,4,7,398,992,84,6,369,6,750,4,31,101,5,386,61,19,9,124,1673,14,423,16,1395,0,8,22,604,711,129,1253,2790,10205,0,0,420,3,78,2,56,0,286,1
108,1152013,115.0,2013,0,0,0,0,0,0,33,3,0,1656,0,1,814,1255,97,2,201,3,18,883,48,458,91,478,17,92,777,117,3000,21,193,16,1395,237,5,333,2929,4793,340,910,4580,20306,2,0,941,4,183,3,104,0,654,1
109,1152014,115.0,2014,0,1,0,16,4,21,37,1,0,947,1,0,1024,1865,187,2,380,6,8,1277,62,1096,88,585,31,81,2,86,2206,98,388,41,1458,145,8,309,2346,4388,303,1482,5748,19456,1,14,799,5,178,4,90,0,531,1
110,1152015,115.0,2015,10,0,2,4,0,16,14,0,0,855,0,0,1281,2635,115,0,313,2,5,607,50,727,45,481,26,44,8,131,1039,22,592,32,1850,20,4,109,1021,3342,167,1434,6168,15537,0,14,835,4,139,4,96,0,600,0
111,722013,72.0,2013,0,0,0,0,0,0,27,38,0,878,0,2,579,896,23,0,108,20,89,6,25,393,115,178,50,35,429,719,914,23,204,6,600,67,214,7,532,642,186,563,3283,8005,0,0,726,2,167,1,76,0,483,1
112,722014,72.0,2014,0,0,2,4,0,6,27,37,0,741,0,6,1089,1214,1,1,95,63,74,2,18,406,129,341,79,57,135,687,758,55,429,15,372,42,256,39,477,659,176,999,4297,8480,0,0,663,0,139,0,74,0,450,0
113,722015,72.0,2015,6,0,1,4,0,11,19,4,0,675,5,0,1091,1499,2,0,123,101,9,0,28,519,105,503,151,77,265,638,621,60,462,1,385,31,219,16,185,546,97,1299,5052,8437,0,0,703,2,144,1,70,1,489,0
114,1062013,106.0,2013,0,0,0,0,0,0,8,0,0,736,1,0,1011,856,0,4,1,5,2,531,41,1635,0,170,44,5,353,157,1539,13,169,12,1264,146,1,104,1326,812,148,397,4408,11094,0,0,944,4,109,1,22,1,813,2
115,1062014,106.0,2014,0,0,0,11,0,11,12,2,0,662,0,9,1118,1196,0,1,6,4,5,281,53,1768,3,279,83,42,15,115,1474,24,293,18,813,138,0,83,1255,633,140,685,4935,10525,0,1,960,1,123,1,25,0,812,0
116,1062015,106.0,2015,3,0,0,6,1,10,14,1,0,571,0,0,1128,1592,4,0,0,1,3,99,40,1991,4,287,56,39,15,72,1472,11,430,15,508,78,0,124,1209,681,144,784,5606,10589,0,2,956,6,100,2,27,1,829,3
117,1232013,123.0,2013,0,0,0,0,0,0,4,629,89,987,1,10,252,482,6,4,81,62,686,38,295,254,95,4,11,3,361,494,1816,13,1183,1,770,20,0,283,1000,798,150,1292,2761,10882,0,2,408,0,36,0,2,0,370,0
118,1232014,123.0,2014,0,0,0,4,0,4,8,575,0,856,7,5,367,914,15,3,59,49,575,68,104,136,119,14,25,3,4,250,1821,53,1733,3,835,17,7,226,999,616,180,1884,3463,10646,0,3,324,2,22,1,0,0,302,1
119,1232015,123.0,2015,0,0,0,0,0,0,9,194,0,870,1,5,364,700,13,2,83,48,264,9,84,318,94,22,26,0,11,295,1389,27,2469,2,885,2,27,113,599,440,133,2627,4153,9498,0,3,392,5,34,2,6,0,352,3
120,462013,46.0,2013,0,0,0,0,0,0,57,655,50,765,0,10,498,1452,333,4,228,5,459,8,16,210,68,103,25,32,1359,158,437,40,207,18,2660,26,275,21,1427,668,205,603,4548,12479,0,0,561,6,162,5,29,0,370,1
121,462014,46.0,2014,0,2,1,18,4,25,84,446,45,677,0,3,485,1910,111,3,243,2,258,10,21,411,28,406,50,100,32,180,434,234,648,20,2682,10,353,18,1324,577,234,1581,4894,12039,0,0,563,0,165,0,32,0,366,0
122,462015,46.0,2015,3,0,0,11,1,15,55,111,23,670,1,4,520,2057,26,3,229,9,95,0,12,776,14,583,42,17,52,180,610,100,819,8,3417,1,91,15,863,668,206,1773,5340,12277,0,0,469,1,129,0,39,0,301,1
123,632013,63.0,2013,0,0,0,0,0,0,7,56,0,1206,0,1,237,1483,0,3,25,4,220,0,40,189,1,61,8,5,613,52,682,17,67,8,618,22,9,3,293,311,33,178,2739,6274,0,0,671,2,118,1,35,0,518,1
124,632014,63.0,2014,0,0,3,5,1,9,5,27,0,995,0,1,292,1696,0,1,237,1,45,0,18,316,0,231,44,2,11,38,636,17,266,11,506,1,6,2,185,249,24,795,3122,5863,0,0,632,6,115,2,28,0,489,4
125,632015,63.0,2015,0,0,0,9,5,14,2,0,8,1068,0,0,121,1336,2,0,123,2,5,0,8,292,60,286,10,5,7,4,351,6,396,0,571,1,3,2,50,186,8,821,2643,4913,0,0,603,0,89,0,22,0,492,0
126,1142013,114.0,2013,0,0,0,0,0,0,14,0,0,2999,2,0,618,3048,62,7,189,6,0,120,50,215,32,248,40,30,607,350,2235,11,563,3,954,186,0,28,730,906,32,1051,5773,14285,0,1,888,6,218,3,114,0,556,3
127,1142014,114.0,2014,1,5,0,14,1,21,13,0,0,2204,5,0,830,3161,35,2,179,3,0,98,37,650,9,258,32,41,1,379,1465,15,893,14,1019,74,0,27,558,847,13,1377,6120,12862,0,4,883,9,220,3,114,0,549,6
128,1142015,114.0,2015,38,0,1,16,4,59,10,0,0,1492,0,0,722,3214,34,4,174,1,0,95,28,546,5,269,32,27,1,127,1405,7,774,7,818,2,0,6,310,744,33,1256,5756,10887,1,6,863,7,181,2,91,2,591,3
129,202013,20.0,2013,0,0,0,0,0,0,8,327,0,2982,0,3,627,1966,221,3,240,1,374,0,1,421,8,173,5,270,326,21,1320,28,14,1,293,347,54,23,371,270,48,460,4217,10746,0,0,261,1,81,0,37,0,143,1
130,202014,20.0,2014,0,0,2,6,0,8,6,131,0,2368,1,7,868,2350,113,2,242,1,111,0,2,666,6,271,14,196,66,27,932,106,266,0,207,182,40,16,213,259,34,899,5084,9703,0,0,221,1,74,0,38,0,109,1
131,202015,20.0,2015,0,0,0,1,1,2,6,55,0,1740,0,0,912,2504,144,2,123,0,32,0,4,822,3,232,12,143,30,11,734,44,419,2,178,200,43,7,121,275,29,830,5350,8827,0,0,244,1,78,1,43,0,123,0
132,712013,71.0,2013,0,0,0,0,0,0,68,368,44,2015,7,6,867,3647,72,13,203,2,212,11,60,589,71,268,215,303,603,656,1191,13,161,55,1978,61,25,236,1024,948,292,860,6798,16284,0,0,731,1,200,1,66,0,465,0
133,712014,71.0,2014,0,3,0,10,0,13,71,197,212,1994,7,2,1155,3939,213,0,630,11,109,11,67,819,129,651,197,138,24,809,1297,69,499,52,1799,136,71,388,963,1095,256,2046,8397,18010,0,0,674,4,190,2,43,1,441,1
134,712015,71.0,2015,3,0,1,2,0,6,59,35,91,1989,0,0,1161,3539,92,2,383,7,38,29,56,801,85,587,122,68,20,96,1441,55,600,54,728,15,63,117,547,1058,185,1747,7490,14123,0,0,636,1,176,1,53,0,407,0
135,882013,88.0,2013,0,0,0,0,0,0,11,234,0,2312,0,0,413,1444,11,0,37,0,150,1,4,108,44,6,9,25,587,269,1444,5,94,1,128,19,0,54,781,418,156,151,2777,8765,0,0,409,1,95,1,89,0,225,0
136,882014,88.0,2014,0,0,0,4,1,5,15,188,0,1937,0,0,725,1398,12,0,84,1,321,0,5,116,25,101,57,23,2,375,1321,15,193,11,150,17,2,59,575,294,114,450,2750,8136,0,0,354,1,68,0,72,0,214,1
137,882015,88.0,2015,1,0,0,2,0,3,9,196,0,1538,1,1,815,1852,0,0,105,5,301,0,4,213,16,128,13,13,2,163,1132,11,208,4,113,8,0,51,416,341,102,465,3381,7761,0,0,322,1,69,1,84,0,169,0
138,1052013,105.0,2013,0,0,0,0,0,0,2,586,0,1502,7,3,171,1106,16,7,174,12,498,13,16,228,53,103,4,11,434,716,2899,10,288,2,2819,125,17,393,2261,964,242,579,2722,15682,0,2,1686,12,161,6,38,0,1487,6
139,1052014,105.0,2014,0,0,1,12,1,14,3,687,0,1362,7,0,206,1507,2,6,295,12,481,0,24,300,79,209,8,36,39,809,2454,47,587,4,2158,54,46,282,1687,838,175,1146,3387,14404,0,7,1555,10,154,3,36,2,1365,5
140,1052015,105.0,2015,2,0,4,19,1,26,7,203,0,771,3,0,168,1662,1,3,254,2,176,4,22,468,17,230,24,5,15,556,1470,15,706,0,1052,40,59,68,759,589,101,1229,3668,9450,0,7,1820,5,157,2,35,0,1628,3
141,1222013,122.0,2013,0,0,0,0,0,0,10,441,271,2039,55,33,610,2393,210,8,659,28,350,1,19,80,106,57,76,70,1504,1713,1603,19,1148,6,587,26,211,181,850,1023,210,1959,6954,16597,1,2,793,4,93,3,14,0,686,1
142,1222014,122.0,2014,0,1,3,16,3,23,11,354,104,1044,39,2,399,2067,204,10,715,46,223,2,21,58,185,102,86,47,92,1343,1101,64,1929,7,643,76,150,82,748,939,166,2896,5973,13059,0,5,751,4,87,3,15,0,649,1
143,1222015,122.0,2015,0,0,1,10,0,11,9,164,32,1048,49,5,299,2179,118,3,787,49,83,2,13,67,142,200,85,43,145,289,1324,43,2476,3,1281,92,148,57,525,1113,211,3591,6721,13084,0,5,705,10,95,3,11,1,599,6
144,282013,28.0,2013,0,0,0,0,0,0,17,118,0,1582,0,12,718,870,114,2,66,5,102,0,14,386,3,241,10,14,436,9,1391,2,528,11,251,80,529,49,262,177,55,847,3886,8054,0,0,268,1,75,1,46,0,147,0
145,282014,28.0,2014,1,0,3,8,0,12,11,125,18,1262,0,0,1045,1540,78,17,87,5,136,0,11,685,3,507,124,13,31,36,1263,16,543,37,269,119,501,68,186,235,80,1277,5212,9051,0,0,233,2,68,1,47,1,118,0
146,282015,28.0,2015,0,0,4,4,0,8,16,144,25,870,0,0,1000,1888,200,2,73,0,119,2,15,1094,31,504,26,33,14,27,877,17,355,21,301,232,329,43,214,264,98,975,5579,8834,0,0,234,0,57,0,36,0,141,0
147,452013,45.0,2013,0,0,0,0,0,0,5,187,0,589,6,0,95,692,1,1,27,1,195,4,3,16,23,25,12,24,157,195,533,6,234,0,655,26,11,67,459,384,80,304,1335,4713,0,0,615,4,94,1,14,0,507,3
148,452014,45.0,2014,0,0,10,15,0,25,6,243,0,653,5,0,125,1023,18,1,77,3,285,8,3,152,59,181,11,17,20,275,509,48,310,8,703,21,16,42,427,428,111,627,2054,5788,0,0,544,4,95,2,25,0,424,2
149,452015,45.0,2015,1,0,2,17,2,22,2,266,0,513,5,0,154,836,44,1,59,5,286,1,9,226,48,309,5,20,18,90,472,42,501,12,780,20,19,30,472,383,156,916,2244,5784,0,0,530,4,80,1,16,1,434,2
150,622013,62.0,2013,0,0,0,0,0,0,17,401,0,1084,0,2,780,1268,29,1,255,9,264,33,88,617,80,208,39,217,567,83,1438,4,177,6,1008,70,57,9,808,706,178,683,4139,10503,0,0,682,5,184,3,72,1,426,1
151,622014,62.0,2014,0,0,1,7,0,8,12,112,0,919,3,0,847,2101,40,4,355,5,30,34,96,229,69,469,66,224,45,177,1144,55,390,4,964,17,66,11,402,544,98,1335,4724,9532,0,0,685,6,191,4,67,1,427,1
152,622015,62.0,2015,5,0,3,9,0,17,7,21,0,611,0,0,685,2824,50,1,560,2,5,2,62,387,58,526,72,206,16,78,887,35,289,0,1069,19,37,16,194,627,78,1482,5515,9424,0,0,676,5,192,4,57,0,427,1
153,792013,79.0,2013,0,0,0,0,0,0,41,866,0,1318,0,1,642,2475,1,0,2,9,1484,0,113,333,53,36,7,32,304,218,895,56,300,50,680,70,60,88,617,670,227,401,4379,11648,0,0,678,2,153,0,105,0,420,2
154,792014,79.0,2014,0,4,0,19,2,25,47,488,0,1431,1,2,1216,2167,15,0,0,9,664,0,258,555,38,321,36,9,0,121,787,114,508,107,530,51,170,79,420,575,238,979,5224,10957,0,0,575,2,171,2,84,0,320,0
155,792015,79.0,2015,5,0,0,3,2,10,32,337,0,1136,0,1,1147,2775,6,4,0,4,223,1,45,798,10,284,11,1,26,0,503,39,432,11,604,61,76,37,310,599,179,766,5691,9692,0,0,612,2,146,2,100,0,366,0
156,1132013,113.0,2013,0,0,0,0,0,0,22,839,0,1384,0,4,561,1003,1417,1,60,5,138,7,75,2005,12,57,12,1,498,199,991,8,117,6,3320,45,16,121,1187,1486,274,254,4416,15871,0,5,990,3,132,2,38,0,820,1
157,1132014,113.0,2014,0,0,2,20,2,24,16,888,0,1284,0,1,402,918,271,0,79,9,561,4,42,2166,14,156,25,2,4,106,1188,24,392,7,1647,111,7,108,1124,1458,403,676,4314,13417,0,5,970,6,110,1,37,1,823,4
158,1132015,113.0,2015,3,0,2,8,1,14,23,357,1,1002,2,3,425,1200,63,0,59,5,225,44,44,2259,8,191,27,2,9,97,1025,11,851,5,1222,34,11,53,602,1108,276,1139,5110,11244,0,5,1032,9,114,5,39,0,879,4
159,192013,19.0,2013,0,0,0,0,0,0,6,1418,41,1837,1,5,577,3372,11,2,455,2,719,0,30,3422,15,617,6,323,614,472,752,3,29,40,475,72,17,167,1121,510,300,1110,9206,17431,0,0,739,6,242,6,96,0,401,0
160,192014,19.0,2014,0,1,13,3,0,17,16,981,69,1392,0,10,1033,4045,29,1,394,3,388,3,16,4435,44,699,4,198,301,1062,286,30,85,14,370,72,10,78,906,469,382,1212,11168,17825,0,0,710,6,246,5,89,0,375,1
161,192015,19.0,2015,1,0,2,3,1,7,14,211,51,1127,0,3,920,2801,19,1,398,1,90,1,57,4903,11,1184,5,195,260,232,312,39,148,17,78,48,9,29,408,501,174,1774,10740,14247,0,0,655,5,217,5,90,0,348,0
162,702013,70.0,2013,0,0,0,0,0,0,35,0,0,2479,0,0,689,1242,82,0,1,9,0,631,114,1589,1,247,100,10,414,0,2579,25,223,221,1360,40,0,27,1221,786,139,596,4606,14264,0,0,931,0,273,0,72,0,586,0
163,702014,70.0,2014,2,0,5,9,1,17,50,0,0,2385,0,0,798,1531,113,0,1,15,0,807,206,2212,1,1079,132,1,104,7,2410,51,533,192,1207,37,0,29,1492,1079,146,1796,6529,16618,0,0,934,1,251,1,86,0,597,0
164,702015,70.0,2015,5,0,1,7,0,13,41,3,0,1325,0,0,757,2032,188,0,19,10,2,83,172,1787,11,1199,149,2,321,0,2039,40,572,21,998,10,5,25,756,1030,155,1979,6943,13752,0,0,882,5,259,4,102,1,521,0
165,1042013,104.0,2013,0,0,0,0,0,0,11,53,0,1098,0,0,380,802,20,1,69,3,29,3,18,60,92,210,7,11,1515,97,1717,22,147,18,1165,405,9,36,634,982,139,455,3729,9753,0,2,759,3,153,2,45,0,561,1
166,1042014,104.0,2014,0,0,3,11,0,14,18,161,0,1025,0,0,536,1116,29,6,201,7,94,3,32,342,88,465,14,19,8,230,1186,56,578,28,910,220,19,87,494,853,271,1314,3661,9096,0,8,674,4,137,2,46,0,491,2
167,1042015,104.0,2015,3,0,0,12,1,16,8,23,6,1203,0,0,717,1698,0,1,231,8,10,0,45,377,73,531,33,16,32,1,1147,22,702,13,814,145,28,54,98,597,127,1519,4597,8760,0,10,709,3,123,3,81,0,505,0
168,1212013,121.0,2013,0,0,0,0,0,0,11,410,20,677,0,13,290,784,86,1,750,1,555,14,4,71,47,12,17,3,147,108,332,3,191,21,294,1,30,54,678,610,142,973,2354,6377,0,3,480,1,50,0,2,0,428,1
169,1212014,121.0,2014,0,2,0,14,0,16,15,384,11,768,0,2,587,3374,46,4,1179,24,402,37,16,190,55,176,41,14,48,881,479,48,1130,20,503,1,69,73,968,1324,104,2574,6913,12973,0,3,144,0,0,0,0,0,144,0
170,1212015,121.0,2015,0,0,0,5,3,8,15,247,15,442,1,4,614,3224,57,16,2555,19,231,40,22,65,94,266,141,8,72,605,754,32,1225,10,1156,1,82,45,784,1473,119,4219,8387,14434,0,3,160,0,2,0,1,0,157,0
171,102013,10.0,2013,0,0,0,0,0,0,17,305,0,1747,0,1,378,489,0,15,72,3,366,86,49,616,5,122,9,224,707,57,2540,10,48,106,338,81,13,106,283,483,210,261,2567,9486,0,0,329,4,88,2,38,0,203,2
172,102014,10.0,2014,0,0,1,1,0,2,32,279,0,1462,1,0,398,546,0,7,89,3,312,69,47,993,1,170,9,41,37,113,1937,17,72,29,292,84,11,38,222,474,172,357,2460,7957,0,0,261,2,68,2,36,0,157,0
173,102015,10.0,2015,2,0,3,1,0,6,21,413,0,1401,16,0,466,900,0,4,140,4,255,124,31,1232,2,389,11,70,52,146,1158,6,125,25,286,63,7,19,200,391,106,671,3430,8063,0,0,260,2,88,1,37,0,135,1
174,442013,44.0,2013,0,0,0,0,0,0,21,423,0,804,0,1,283,2434,110,8,59,4,219,4,2,90,67,27,17,14,198,118,1606,36,197,27,790,52,41,63,303,717,191,336,3522,8926,0,0,562,3,173,3,33,0,356,0
175,442014,44.0,2014,0,0,0,12,3,15,55,399,3,817,0,0,507,1922,99,0,136,3,413,0,9,202,80,190,37,50,15,350,1274,175,861,34,761,18,60,80,458,734,264,1399,4258,10006,0,0,538,0,152,0,37,0,349,0
176,442015,44.0,2015,3,0,0,25,1,29,34,356,3,728,0,0,501,2131,60,1,71,1,375,1,20,200,67,277,28,32,20,93,812,259,753,23,636,3,77,53,337,647,236,1388,4421,8835,0,0,554,8,146,4,55,2,353,2
177,612013,61.0,2013,0,0,0,0,0,0,15,23,0,2091,0,0,161,209,34,9,60,1,36,0,18,134,16,308,8,5,155,42,2848,8,206,2,985,119,29,38,477,503,92,590,1428,8632,0,0,926,8,232,3,66,0,628,5
178,612014,61.0,2014,0,0,7,11,0,18,5,13,0,1872,0,0,215,323,27,1,114,2,12,1,30,210,40,406,44,33,27,37,2414,21,345,8,763,37,27,11,352,530,103,930,1814,8023,0,0,818,7,249,5,69,0,500,2
179,612015,61.0,2015,1,0,5,9,0,15,2,7,0,1661,0,0,127,372,24,0,38,3,13,2,23,118,29,517,20,34,13,18,2101,15,444,3,517,0,10,4,176,372,79,1034,1705,6742,0,0,792,9,167,6,71,0,554,3
180,782013,78.0,2013,0,0,0,0,0,0,23,110,0,1604,0,5,1012,560,4,0,301,3,193,3,42,170,7,96,7,5,214,86,1041,4,144,127,663,56,121,8,303,356,45,552,2715,7313,0,0,435,2,98,2,99,0,238,0
181,782014,78.0,2014,0,0,0,12,2,14,23,108,0,1301,15,4,1396,1098,4,0,320,4,173,12,43,217,5,272,12,6,19,161,1010,30,323,148,433,55,284,9,229,265,51,957,4069,8030,0,0,388,2,79,2,87,0,222,0
182,782015,78.0,2015,6,0,0,4,7,17,24,98,0,962,0,2,694,2256,84,2,220,3,71,3,22,62,7,335,11,9,5,125,901,34,348,13,503,5,160,5,248,288,60,948,4161,7560,0,0,357,0,85,0,69,0,203,0
183,1122013,112.0,2013,0,0,0,0,0,0,8,21,0,1524,0,0,329,2023,74,1,57,5,18,0,22,42,34,249,17,39,425,70,3115,33,273,8,678,60,60,26,498,507,44,629,3610,10260,0,4,461,2,115,1,26,0,320,1
184,1122014,112.0,2014,0,0,4,1,1,6,6,15,0,1410,2,0,649,2338,88,2,88,1,16,0,20,622,16,846,14,55,21,56,1622,53,609,7,565,30,0,13,322,410,46,1610,5294,9942,0,7,492,3,121,3,18,0,353,0
185,1122015,112.0,2015,3,0,5,2,2,12,3,10,139,658,1,0,800,2753,112,3,64,2,11,0,5,651,18,1051,13,44,5,12,1151,43,938,0,678,7,2,15,285,393,75,2109,6349,9942,0,7,516,2,110,1,26,0,380,1
186,12013,1.0,2013,0,0,0,0,0,0,6,536,92,2411,2,0,658,1810,226,3,129,3,638,13,25,530,43,226,8,185,293,299,1397,3,73,48,542,25,10,40,496,350,103,439,3816,11223,0,0,418,2,182,1,49,0,187,1
187,12014,1.0,2014,9,7,0,2,4,22,15,15,33,2468,0,1,843,2303,173,1,187,4,37,17,37,851,17,419,11,256,55,338,1371,29,154,22,499,45,20,12,208,209,53,800,4949,10703,0,0,386,0,138,0,71,0,177,0
188,12015,1.0,2015,3,0,0,0,0,3,6,12,22,2350,0,0,950,2466,121,1,223,0,39,16,14,961,1,437,9,202,61,389,1228,4,146,8,511,42,22,1,124,118,29,819,5328,10513,0,0,389,0,127,0,83,0,179,0
189,182013,18.0,2013,0,0,0,0,0,0,11,234,32,2136,0,3,733,1125,11,3,198,4,160,6,4,3564,51,146,5,100,421,140,1968,11,42,160,148,7,41,48,725,395,218,402,6355,12850,0,0,569,2,238,1,92,0,239,1
190,182014,18.0,2014,0,0,2,3,4,9,17,328,54,2102,37,2,841,1163,15,3,187,3,377,5,2,3344,75,238,7,90,55,143,1664,23,99,100,160,15,113,26,661,263,197,554,6214,12409,0,0,537,1,220,0,81,0,236,1
191,182015,18.0,2015,1,0,0,1,3,5,21,389,119,1725,0,1,758,2180,8,0,142,1,375,0,4,2756,93,325,9,141,93,105,1154,3,183,52,236,0,95,7,399,303,158,662,6658,11835,0,0,498,1,170,1,88,0,240,0
192,522013,52.0,2013,0,0,0,0,0,0,44,797,22,697,0,11,351,680,47,7,170,3,830,42,22,1202,77,15,22,16,347,447,633,4,223,4,2514,20,114,162,623,1181,382,434,3269,11709,0,0,694,1,195,1,25,0,474,0
193,522014,52.0,2014,0,0,0,10,1,11,24,882,29,651,0,0,490,860,44,8,140,2,519,34,9,1104,54,169,14,11,25,399,475,24,818,5,2556,30,77,197,305,898,259,1165,3829,11112,0,0,557,2,174,1,24,0,359,1
194,522015,52.0,2015,2,0,0,16,0,18,13,802,111,547,0,6,444,1192,39,12,195,1,418,53,88,1015,53,257,40,9,37,288,508,31,735,3,2266,28,50,45,439,765,238,1258,4090,10728,0,0,565,1,165,0,31,0,369,1
195,692013,69.0,2013,0,0,0,0,0,0,29,397,0,2382,1,19,321,1273,60,7,178,7,264,15,244,751,52,102,46,3,392,647,2109,8,328,6,1687,50,11,29,907,706,160,662,3542,13191,0,0,644,8,108,4,23,0,513,4
196,692014,69.0,2014,0,4,0,7,0,11,34,239,1,1973,0,0,306,1142,42,0,24,1,331,9,300,937,50,147,31,14,1,245,2131,45,445,11,2450,82,9,75,1180,632,212,692,3253,13099,0,0,585,5,79,0,18,0,488,5
197,692015,69.0,2015,0,0,0,13,0,13,19,141,0,1222,0,1,293,1291,37,0,41,4,319,3,189,685,42,231,22,5,4,5,1628,23,520,4,2162,37,0,14,627,555,145,837,3208,10269,0,0,588,4,98,2,19,0,471,2
198,1032013,103.0,2013,0,0,0,0,0,0,44,81,0,1861,0,2,252,3989,8,1,242,3,82,13,26,820,74,297,20,63,1199,415,2685,13,86,40,4513,138,453,68,275,1089,98,658,7627,18950,0,0,747,3,205,3,27,0,515,0
199,1032014,103.0,2014,2,4,1,15,0,22,63,27,0,1857,0,8,417,5674,0,0,210,2,38,24,16,970,79,889,32,63,20,473,2850,41,245,106,3196,165,984,81,306,1445,95,1417,9789,20376,0,1,694,2,180,2,32,0,482,0
200,1032015,103.0,2015,5,0,0,5,0,10,23,29,0,968,0,0,411,4596,4,0,186,0,40,19,7,1031,21,711,19,22,23,205,1538,24,430,56,3247,426,387,18,143,1238,50,1370,8288,15872,0,1,824,1,201,1,27,0,596,0
