ID,PERSONS_INJURED,PERSONS_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED
882013,409,1,95,1,89,0,225,0
882014,354,1,68,0,72,0,214,1
882015,322,1,69,1,84,0,169,0
902013,842,7,187,2,168,0,487,5
902014,733,5,162,4,160,1,411,0
902015,860,1,181,0,162,0,517,1
942013,409,2,65,1,58,0,286,1
942014,378,2,62,1,61,0,255,1
942015,345,1,55,0,78,0,212,1
1002013,173,0,22,0,10,0,141,0
1002014,135,0,27,0,9,0,99,0
1002015,153,1,26,0,14,0,113,1
1012013,268,2,55,0,11,0,202,2
1012014,227,1,51,0,15,0,161,1
1012015,247,2,55,0,14,1,178,1
1022013,788,6,139,5,63,0,586,1
1022014,813,5,134,1,39,1,640,3
1022015,870,3,134,2,50,0,686,1
1032013,747,3,205,3,27,0,515,0
1032014,694,2,180,2,32,0,482,0
1032015,824,1,201,1,27,0,596,0
1042013,759,3,153,2,45,0,561,1
1042014,674,4,137,2,46,0,491,2
1042015,709,3,123,3,81,0,505,0
1052013,1686,12,161,6,38,0,1487,6
1052014,1555,10,154,3,36,2,1365,5
1052015,1820,5,157,2,35,0,1628,3
1062013,944,4,109,1,22,1,813,2
1062014,960,1,123,1,25,0,812,0
1062015,956,6,100,2,27,1,829,3
1072013,827,7,119,2,15,0,693,5
1072014,732,6,122,3,20,0,590,3
1072015,771,3,105,1,17,0,649,2
1082013,1013,10,163,6,86,0,764,4
1082014,1064,1,146,0,106,0,812,1
1082015,970,4,122,1,96,2,752,1
1092013,1073,8,304,4,44,0,725,4
1092014,992,8,267,4,53,1,672,3
1092015,1178,9,241,6,66,0,871,3
1102013,751,7,198,6,62,0,491,1
1102014,682,5,168,2,64,1,450,2
1102015,672,1,158,1,87,0,427,0
1112013,679,5,72,2,17,0,590,3
1112014,598,7,72,2,9,0,517,5
1112015,699,4,90,0,12,0,597,4
1122013,461,2,115,1,26,0,320,1
1122014,492,3,121,3,18,0,353,0
1122015,516,2,110,1,26,0,380,1
1132013,990,3,132,2,38,0,820,1
1132014,970,6,110,1,37,1,823,4
1132015,1032,9,114,5,39,0,879,4
1142013,888,6,218,3,114,0,556,3
1142014,883,9,220,3,114,0,549,6
1142015,863,7,181,2,91,2,591,3
1152013,941,4,183,3,104,0,654,1
1152014,799,5,178,4,90,0,531,1
1152015,835,4,139,4,96,0,600,0
1202013,672,0,140,0,17,0,515,0
1202014,609,4,120,1,24,0,465,3
1202015,568,1,112,1,12,0,444,0
1212013,480,1,50,0,2,0,428,1
1212014,144,0,0,0,0,0,144,0
1212015,160,0,2,0,1,0,157,0
1222013,793,4,93,3,14,0,686,1
1222014,751,4,87,3,15,0,649,1
1222015,705,10,95,3,11,1,599,6
1232013,408,0,36,0,2,0,370,0
1232014,324,2,22,1,0,0,302,1
1232015,392,5,34,2,6,0,352,3
