,Backing Unsafely,Brake Lights (Defect.or Improper),"Bus Lane, Driving in",Cell Phone,Commercial Veh on Pkwy,Defective Brakes,Disobey Steady Red Signal,Disobey Traffic Control Device,Equipment (Other),Fail to Keep Right,Fail to Signal,Following Too Closely,Headlights (Defect. or Improper),ID,Improper Lights,Improper Passing,Improper Turn,Improper/Missing Plates,Not Giving R of W to Pedes.,Not Giving R of W to Veh.,One Way Street,Other Movers,Pavement Markings,Precinct,Safety Belt,"School Bus, Passing Stopped",Speeding,Spillback,Tinted Windows,Truck Routes,U-Turn,Uninspected,Uninsured,Unlicensed Operator,Unregistered,Year,P12,P123,Total
0762015,18,37,0,860,0,0,326,545,1,0,86,0,65,0762015,0,7,690,21,244,2,50,10,474,076,497,16,310,4,658,3,8,2,91,182,24,2015,658.0,2279.0,5231.0
0772015,41,699,142,1137,0,1,1124,2887,0,13,525,7,905,0772015,0,34,679,7,420,66,71,23,389,077,744,39,1673,59,1177,8,69,38,664,716,264,2015,2723.0,7561.0,14621.0
0782015,24,98,0,962,0,2,694,2256,84,2,220,3,71,0782015,3,22,62,7,335,11,9,5,125,078,901,34,348,13,503,5,160,5,248,288,60,2015,948.0,4161.0,7560.0
0792015,32,337,0,1136,0,1,1147,2775,6,4,0,4,223,0792015,1,45,798,10,284,11,1,26,0,079,503,39,432,11,604,61,76,37,310,599,179,2015,766.0,5691.0,9692.0
0812015,20,594,0,1240,4,7,398,992,84,6,369,6,750,0812015,4,31,101,5,386,61,19,9,124,081,1673,14,423,16,1395,0,8,22,604,711,129,2015,1253.0,2790.0,10205.0
0832015,45,302,0,1076,0,0,766,3716,71,20,448,5,164,0832015,5,39,295,42,169,27,51,1,39,083,1039,10,91,5,716,46,13,17,353,1406,186,2015,745.0,5669.0,11163.0
0842015,4,78,0,587,0,0,897,1737,0,0,368,2,141,0842015,0,185,1192,2,389,8,22,0,355,084,985,14,242,7,500,13,16,14,256,332,52,2015,1021.0,4882.0,8398.0
0882015,9,196,0,1538,1,1,815,1852,0,0,105,5,301,0882015,0,4,213,16,128,13,13,2,163,088,1132,11,208,4,113,8,0,51,416,341,102,2015,465.0,3381.0,7761.0
0902015,8,157,0,884,2,1,922,875,15,2,88,3,166,0902015,4,37,969,15,275,46,581,5,33,090,1412,14,249,2,460,21,1,12,686,417,53,2015,672.0,3490.0,8415.0
0942015,31,73,1,725,0,1,849,1220,86,2,131,4,171,0942015,0,30,373,39,145,38,99,9,33,094,783,2,777,3,730,95,23,50,296,358,111,2015,1093.0,3732.0,7288.0
1002015,8,321,0,378,0,0,426,1048,12,0,30,2,2,1002015,0,139,425,0,30,22,0,0,0,100,288,5,476,0,473,0,0,13,349,464,43,2015,563.0,2470.0,4954.0
1012015,6,310,0,660,0,0,418,947,58,0,187,3,320,1012015,8,37,179,30,190,9,34,7,40,101,546,24,792,2,777,16,23,53,382,1082,69,2015,1202.0,2828.0,7209.0
1022015,5,85,0,904,1,2,501,2122,9,6,155,2,47,1022015,91,22,590,12,601,73,6,23,11,102,1238,23,608,7,702,25,4,10,406,670,66,2015,1460.0,4743.0,9027.0
1032015,23,29,0,968,0,0,411,4596,4,0,186,0,40,1032015,19,7,1031,21,711,19,22,23,205,103,1538,24,430,56,3247,426,387,18,143,1238,50,2015,1370.0,8288.0,15872.0
1042015,8,23,6,1203,0,0,717,1698,0,1,231,8,10,1042015,0,45,377,73,531,33,16,32,1,104,1147,22,702,13,814,145,28,54,98,597,127,2015,1519.0,4597.0,8760.0
1052015,7,203,0,771,3,0,168,1662,1,3,254,2,176,1052015,4,22,468,17,230,24,5,15,556,105,1470,15,706,0,1052,40,59,68,759,589,101,2015,1229.0,3668.0,9450.0
1062015,14,1,0,571,0,0,1128,1592,4,0,0,1,3,1062015,99,40,1991,4,287,56,39,15,72,106,1472,11,430,15,508,78,0,124,1209,681,144,2015,784.0,5606.0,10589.0
1072015,5,111,0,834,0,0,266,1937,1,3,198,2,72,1072015,20,12,2162,0,316,82,19,3,40,107,1572,25,743,1,246,0,75,14,145,690,35,2015,1364.0,5812.0,9629.0
1082015,9,8,0,1211,0,0,1205,3305,55,1,81,0,18,1082015,1,52,1745,22,589,11,28,22,0,108,989,13,670,13,475,38,0,13,212,565,42,2015,1364.0,7710.0,11393.0
1092015,14,12,1,1655,0,0,672,4887,79,32,447,5,37,1092015,6,47,701,48,867,251,22,61,159,109,2605,84,738,49,1122,51,67,29,153,822,70,2015,2387.0,8888.0,15793.0
1102015,6,54,0,1426,0,0,524,1657,39,1,195,2,61,1102015,19,19,148,23,1033,10,268,2,36,110,2284,162,1227,2,241,70,13,35,195,1306,116,2015,2627.0,5070.0,11174.0
1112015,1,16,0,2105,0,0,292,761,3,0,70,1,24,1112015,48,1,20,8,725,9,15,38,49,111,1789,47,518,1,846,10,25,81,207,564,82,2015,1369.0,2524.0,8356.0
1122015,3,10,139,658,1,0,800,2753,112,3,64,2,11,1122015,0,5,651,18,1051,13,44,5,12,112,1151,43,938,0,678,7,2,15,285,393,75,2015,2109.0,6349.0,9942.0
1132015,23,357,1,1002,2,3,425,1200,63,0,59,5,225,1132015,44,44,2259,8,191,27,2,9,97,113,1025,11,851,5,1222,34,11,53,602,1108,276,2015,1139.0,5110.0,11244.0
1142015,10,0,0,1492,0,0,722,3214,34,4,174,1,0,1142015,95,28,546,5,269,32,27,1,127,114,1405,7,774,7,818,2,0,6,310,744,33,2015,1256.0,5756.0,10887.0
1152015,14,0,0,855,0,0,1281,2635,115,0,313,2,5,1152015,607,50,727,45,481,26,44,8,131,115,1039,22,592,32,1850,20,4,109,1021,3342,167,2015,1434.0,6168.0,15537.0
1202015,9,172,2,783,7,3,1052,2220,44,3,459,4,294,1202015,3,73,63,61,361,45,18,10,40,120,981,64,1064,4,938,0,5,46,427,1410,158,2015,1993.0,5420.0,10823.0
1212015,15,247,15,442,1,4,614,3224,57,16,2555,19,231,1212015,40,22,65,94,266,141,8,72,605,121,754,32,1225,10,1156,1,82,45,784,1473,119,2015,4219.0,8387.0,14434.0
1222015,9,164,32,1048,49,5,299,2179,118,3,787,49,83,1222015,2,13,67,142,200,85,43,145,289,122,1324,43,2476,3,1281,92,148,57,525,1113,211,2015,3591.0,6721.0,13084.0
1232015,9,194,0,870,1,5,364,700,13,2,83,48,264,1232015,9,84,318,94,22,26,0,11,295,123,1389,27,2469,2,885,2,27,113,599,440,133,2015,2627.0,4153.0,9498.0
